이름,타입,설명,날짜,상태
Authorization,String,[Header] Bearer {JWT_TOKEN} (블로거 필수),,시작 전
amount,Number,"[Body] 출금 요청 금액 (최소 10,000원 이상)",,시작 전
bankName,String,[Body] 입금받을 은행명,,시작 전
accountNumber,String,[Body] 입금받을 계좌번호,,시작 전
