이름,날짜,상태,설명,타입
Authorization,,시작 전,[Header] Bearer {JWT_TOKEN} (필수),String
missionId,,시작 전,미션 고유 식별자,Number
reason,,시작 전,[Body] 취소 사유 — DEADLINE_EXCEEDED / BLOGGER_REQUEST / ADVERTISER_REJECT (필수),String
