이름,타입,설명,날짜,상태
Authorization,String,[Header] Bearer {JWT_TOKEN} (광고주 필수),,시작 전
page,Number,[Query] 페이지 번호 (기본값: 1),,시작 전
status,String,"[Query] 상태 필터 (선택: LOCKED, RELEASED, CANCELED) 미입력시 전체 조회",,시작 전
