이름,날짜,상태,설명,타입
data.content,,시작 전,포인트 변동 내역 리스트,Array
data.content[].type,,시작 전,"변동 타입(CHARGE, LOCK, RELEASE, REFUND, WITHDRAW)",String
message,,시작 전,응답 메시지,String
success,,시작 전,요청 성공 여부,Boolean
data.content[].historyId,,시작 전,내역 고유 식별자,Number
data.content[].amount,,시작 전,변동 금액(+/-),Number
data.totalPages,,시작 전,전체 페이지 수,Number
data.currentPage,,시작 전,현재 페이지 번호,Number
data.content[].referenceId,,시작 전,"변동 원인 추적용 원본 ID. CHARGE=paymentId, LOCK/RELEASE/REFUND=escrowId, WITHDRAW=withdrawalId",Number
